공동주택명,주소,세대수,구
현대아파트,대전광역시 동구 계족로443번길 24(용전동),48,동구
용전서민아파트,대전광역시 동구 계족로 485-35(용전동),112,동구
삼성아파트A동,대전광역시 동구 선화로 183(삼성동),45,동구
삼성아파트B동,대전광역시 동구 대전천동로 612(삼성동),40,동구
가양글로벌아파트,대전광역시 동구 동서대로1778번길 122(가양동),40,동구
빌라맨션,대전광역시 동구 대전천동로 618(삼성동),120,동구
백조아파트,대전광역시 동구 흥룡로71번길 109(가양동),32,동구
대동연립,대전광역시 동구 동대전로104번길 29 / 29-1 (대동),43,동구
가양시장아파트,대전광역시 동구 매봉로 18(가양동) ,48,동구
한산아파트,대전광역시 동구 흥룡로 40(가양동),45,동구
장미아파트,대전광역시 동구 홍도로46번길 72-14(용전동),6,동구
예지아파트,대전광역시 동구 비래서로42번길 69(가양동),60,동구
"시영아파트1,2동",대전광역시 동구 대전로1002번길 24-4(홍도동),100,동구
한밭맨션,대전광역시 동구 대전로867번길 51(삼성동),40,동구
시영아파트3동,대전광역시 동구 대전로1002번길 24-6(홍도동),40,동구
수정아파트,대전광역시 동구 비래서로62번길 57(가양동),110,동구
신진크로바맨션,대전광역시 동구 계족로 443(용전동),105,동구
무궁화아파트,대전광역시 동구 백룡로 50(자양동),115,동구
대청아파트,대전광역시 동구 대전로906번길 86-1(삼성동),90,동구
평화맨션,대전광역시 동구 계족로382번길 125(가양동),60,동구
한밭빌라,대전광역시 동구 흥룡로71번길 115(가양동),25,동구
흥룡연립,대전광역시 동구 우암로291번길 40(가양동),25,동구
한성잉꼬아파트,대전광역시 동구 동대전로321번길 9(가양동),79,동구
안전로얄아파트,대전광역시 동구 가양로68번길 17(가양동),55,동구
경성3차아파트 (경성아파트 가동),대전광역시 동구 동산초교로10번길 20(홍도동),38,동구
평화맨션,대전광역시 동구 백룡로21번길 53(자양동),30,동구
임광하이츠1동,대전광역시 동구 동서대로1778번길 48(가양동),64,동구
경원빌라,대전광역시 동구 가양로56번길 37(가양동),19,동구
삼창아파트,대전광역시 동구 성동로7번길 58-10(자양동),75,동구
옥수아파트,대전광역시 동구 우암로296번길 39(가양동),41,동구
평화아파트,대전광역시 동구 동대전로256번길 74(가양동),55,동구
임광아파트,대전광역시 동구 성동로7번길 58-11(자양동),87,동구
유락주택,대전광역시 동구 동대전로256번길 121(가양동),16,동구
유성아파트3동,대전광역시 동구 대전로470번길 18-6(가오동),19,동구
조일아파트,대전광역시 동구 충정로 5(가양동),110,동구
부성아파트,대전광역시 동구 비래서로62번길 75(가양동),96,동구
신진프라자아파트,대전광역시 동구 옛신탄진로75번길 29(홍도동),18,동구
"임광하이츠2동,3동",대전광역시 동구 동서대로1778번길 78 / 79(가양동),147,동구
임광하이츠4동,대전광역시 동구 흥룡로65번길 46(가양동),89,동구
평화아파트,대전광역시 동구 비래서로62번길 5(가양동),129,동구
개나리아파트,대전광역시 동구 동대전로110번길 141(대동),38,동구
진달래아파트,대전광역시 동구 동대전로110번길 139(대동),38,동구
정원아파트,대전광역시 동구 용운로 124-4(용운동),89,동구
방주아파트,대전광역시 동구 동구청로204번길 46(판암동),133,동구
모리아파트,대전광역시 동구 동부로85번길 12(용운동),48,동구
홍익아파트,대전광역시 동구 대전로 529(천동),102,동구
대동탑스빌,대전광역시 동구 대동천우안4길 14(대동),13,동구
(부성)한울아파트,대전광역시 동구 동서대로1770번길 76(가양동),110,동구
듀오빌아파트,대전광역시 동구 대전천동로 478(인동),125,동구
와이즈빌,대전광역시 동구 합내로 27(가양동),18,동구
구룡아트빌,대전광역시 동구 대흥로202번길 21-4(인동),12,동구
맑은미소아파트,대전광역시 동구 대전로 872(삼성동),112,동구
평화로운아파트,대전광역시 동구 홍도로39번길 25(홍도동),48,동구
뜰안채주상복합,대전광역시 동구 대전로 758(원동),69,동구
해맞이아파트,대전광역시 동구 흥룡로36번길 20(가양동),30,동구
판암동참좋은아파트,대전광역시 동구 옥천로180번길 67(판암동),54,동구
동부힐스퀘어,대전광역시 동구 계족로392번길 87(성남동),51,동구
두둥실아파트,대전광역시 동구 은어송로 59(가오동),96,동구
에스테반,대전광역시 동구 동서대로 1712(가양동),53,동구
구룡시티빌,대전광역시 동구 대흥로202번길 26(인동),19,동구
로하스빌,대전광역시 동구 송촌남로19번길 9(용전동),50,동구
드림팰리스1차,대전광역시 동구 동대전로263번길 68(가양동),27,동구
대호아파트,대전광역시 동구 충정로 83(가양동),16,동구
트윈스아파트8차,대전광역시 동구 동대전로248번길 90(가양동),18,동구
드림팰리스2차,대전광역시 동구 동대전로263번길 72(가양동),27,동구
대호아파트,대전광역시 동구 대전로 389-11(가오동),28,동구
예오름아파트,대전광역시 동구 은어송로51번길 71(가오동),16,동구
성남동누리보듬아파트,대전광역시 동구 우암로123번길 27(성남동),99,동구
드림팰리스3차,대전광역시 동구 가양로80번길 23(가양동),21,동구
트윈스아파트9차,대전광역시 동구 동서대로1748번길 75(가양동),19,동구
세움빌,대전광역시 동구 동서대로 1669-12(용전동),24,동구
대호아파트,대전광역시 동구 대흥로202번길 16(인동),21,동구
서미가아파트,대전광역시 동구 대전로 332(대성동),22,동구
담소루아파트,대전광역시 동구 대흥로202번길 13(인동),26,동구
드림팰리스5차,대전광역시 동구 가양로 154(가양동),90,동구
올인하우징 2동,대전광역시 동구 선화로192번길 41(중동),7,동구
올인하우징 1동,대전광역시 동구 선화로192번길 39(중동),7,동구
반석시티,대전광역시 동구 대전로807번길 58 (중동),40,동구
