행정기관코드,구,행정동,총 인구수,공동주택수,공동주택세대수,우체국수,인구_norm,세대수_norm,우체국_norm,입지점수
3020061000,유성구,원신흥동,30613,8.0,8009.0,0.0,0.6318750692213977,0.9800538423886442,0.0,0.6447715646440169
3020052700,유성구,상대동,25011,9.0,8172.0,0.0,0.5077860228153727,1.0,0.0,0.6031144091261491
3023054300,대덕구,송촌동,26885,14.0,7514.0,1.0,0.5492967105991804,0.9194811551639747,0.3333333333333333,0.5208444796385954
3017059300,서구,도안동,36459,5.0,6995.0,2.0,0.7613689223612803,0.8559716103768968,0.6666666666666666,0.5136028797619376
3020057000,유성구,전민동,25318,4.0,6504.0,1.0,0.5145863329272344,0.7958883994126286,0.3333333333333333,0.45752322626927855
3011056000,동구,용운동,20851,8.0,5805.0,0.0,0.41563849817255516,0.710352422907489,0.0,0.4503963684320177
3017059700,서구,관저2동,47232,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.40000000000000013
3023056000,대덕구,석봉동,15700,12.0,4793.0,0.0,0.30153948388525864,0.5865149290259423,0.0,0.35522176516448034
3020054000,유성구,온천2동,40733,0.0,0.0,0.0,0.8560416435928675,0.0,0.0,0.342416657437147
3011064000,동구,용전동,19473,12.0,3437.0,0.0,0.3851146306346218,0.42058247674987764,0.0,0.3222788429537998
3020054800,유성구,노은3동,35656,0.0,0.0,0.0,0.7435817920035441,0.0,0.0,0.29743271680141764
3011053000,동구,효동,29264,1.0,1056.0,0.0,0.6019935762542917,0.12922173274596183,0.0,0.29248612360010146
3017064000,서구,둔산2동,33994,0.0,0.0,0.0,0.7067670838409569,0.0,0.0,0.28270683353638276
3011058500,동구,대동,13347,8.0,3516.0,0.0,0.2494185402591649,0.4302496328928047,0.0,0.27186726926078786
3023055000,대덕구,신탄진동,15988,24.0,4372.0,1.0,0.30791892789899217,0.5349975526186981,0.3333333333333333,0.27049992554040947
3020058000,유성구,구즉동,32593,0.0,0.0,0.0,0.6757337468158157,0.0,0.0,0.2702934987263263
3023053300,대덕구,비래동,14356,25.0,3054.0,0.0,0.2717687451545022,0.3737151248164464,0.0,0.25819354798837946
3020055000,유성구,신성동,25250,3.0,2374.0,1.0,0.5130800753128807,0.29050416054821343,0.3333333333333333,0.25476702767777104
3017055500,서구,탄방동,30735,0.0,0.0,0.0,0.6345774725883265,0.0,0.0,0.25383098903533063
3017051000,서구,복수동,20976,4.0,1757.0,0.0,0.41840735408129365,0.21500244738130203,0.0,0.2533639205850383
3011069500,동구,삼성동,12957,11.0,2658.0,0.0,0.24077970982390076,0.32525697503671075,0.0,0.2264146739442446
3020053000,유성구,온천1동,26552,0.0,0.0,0.0,0.541920478458301,0.0,0.0,0.21676819138332043
3011066500,동구,성남동,10363,6.0,2686.0,0.0,0.18332041200575921,0.32868330885952035,0.0,0.20480148834611184
3020052000,유성구,진잠동,24930,0.0,0.0,0.0,0.5059918041865101,0.0,0.0,0.20239672167460407
3014074000,중구,산성동,24360,0.0,0.0,0.0,0.49336582124266254,0.0,0.0,0.19734632849706502
3014053500,중구,은행선화동,23966,0.0,0.0,0.0,0.48463838741831883,0.0,0.0,0.19385535496732753
3011067000,동구,홍도동,10791,10.0,2278.0,0.0,0.19280097463727988,0.27875673029858056,0.0,0.1886230819743442
3014069000,중구,태평2동,23365,0.0,0.0,0.0,0.47132572820910407,0.0,0.0,0.18853029128364163
3020054700,유성구,노은2동,23122,0.0,0.0,0.0,0.46594307232251636,0.0,0.0,0.18637722892900654
3020052600,유성구,학하동,19496,1.0,634.0,0.0,0.3856241001218297,0.07758198727361723,0.0,0.18528243495817875
3017058200,서구,갈마2동,22894,0.0,0.0,0.0,0.4608926791449774,0.0,0.0,0.18435707165799098
3017057500,서구,내동,21540,0.0,0.0,0.0,0.43090043194152183,0.0,0.0,0.17236017277660876
3011074000,동구,산내동,21004,0.0,0.0,0.0,0.41902757780485106,0.0,0.0,0.16761103112194042
3020054600,유성구,노은1동,20619,0.0,0.0,0.0,0.41049950160593646,0.0,0.0,0.1641998006423746
3017058100,서구,갈마1동,20541,0.0,0.0,0.0,0.4087717355188836,0.0,0.0,0.16350869420755346
3014072000,중구,문화1동,20119,0.0,0.0,0.0,0.39942407797098245,0.0,0.0,0.159769631188393
3017058800,서구,월평3동,19771,0.0,0.0,0.0,0.3917155831210544,0.0,0.0,0.1566862332484218
3017053000,서구,도마2동,19285,0.0,0.0,0.0,0.3809502713478791,0.0,0.0,0.15238010853915165
3017066000,서구,둔산3동,18513,0.0,0.0,0.0,0.3638498172555101,0.0,0.0,0.14553992690220405
3017052000,서구,도마1동,17901,0.0,0.0,0.0,0.3502934987263263,0.0,0.0,0.14011739949053054
3011063000,동구,가양2동,17893,0.0,0.0,0.0,0.35011629194816707,0.0,0.0,0.14004651677926683
3023054600,대덕구,중리동,17523,8.0,1136.0,1.0,0.3419204784583011,0.13901125795398925,0.3333333333333333,0.12570602789824947
3017063000,서구,둔산1동,16028,0.0,0.0,0.0,0.3088049617897885,0.0,0.0,0.12352198471591541
3023058000,대덕구,목상동,5817,7.0,1783.0,0.0,0.08262266031675711,0.21818404307391093,0.0,0.12032268135626722
3011059000,동구,자양동,10641,5.0,897.0,0.0,0.18947834754679366,0.10976505139500735,0.0,0.11969735957672041
3014056000,중구,중촌동,14884,0.0,0.0,0.0,0.28346439251301364,0.0,0.0,0.11338575700520546
3011054500,동구,신인동,14713,0.0,0.0,0.0,0.27967659762985936,0.0,0.0,0.11187063905194375
3023061000,대덕구,법2동,14433,0.0,0.0,0.0,0.27347436039428513,0.0,0.0,0.10938974415771406
3017059600,서구,관저1동,14359,0.0,0.0,0.0,0.2718351976963119,0.0,0.0,0.10873407907852478
3014062000,중구,석교동,13632,0.0,0.0,0.0,0.25573153173108876,0.0,0.0,0.1022926126924355
3017058700,서구,월평2동,13209,0.0,0.0,0.0,0.24636172333591763,0.0,0.0,0.09854468933436705
3011062000,동구,가양1동,12664,0.0,0.0,0.0,0.2342895115738177,0.0,0.0,0.09371580462952708
