행정기관코드,구,행정동,총 인구수
3011051500,동구,중앙동,3319
3011053000,동구,효동,29264
3011054500,동구,신인동,14713
3011055100,동구,판암1동,11650
3011055200,동구,판암2동,7647
3011056000,동구,용운동,20851
3011058500,동구,대동,13347
3011059000,동구,자양동,10641
3011062000,동구,가양1동,12664
3011063000,동구,가양2동,17893
3011064000,동구,용전동,19473
3011066500,동구,성남동,10363
3011067000,동구,홍도동,10791
3011069500,동구,삼성동,12957
3011072500,동구,대청동,2087
3011074000,동구,산내동,21004
3014053500,중구,은행선화동,23966
3014055000,중구,목동,17354
3014056000,중구,중촌동,14884
3014057500,중구,대흥동,12124
3014060500,중구,문창동,4107
3014062000,중구,석교동,13632
3014063000,중구,대사동,5110
3014064000,중구,부사동,5859
3014065500,중구,용두동,9751
3014067000,중구,오류동,9761
3014068000,중구,태평1동,12058
3014069000,중구,태평2동,23365
3014071000,중구,유천2동,12440
3014072000,중구,문화1동,20119
3014073000,중구,문화2동,11002
3014074000,중구,산성동,24360
3017051000,서구,복수동,20976
3017052000,서구,도마1동,17901
3017053000,서구,도마2동,19285
3017053500,서구,정림동,14575
3017054000,서구,변동,12229
3017055000,서구,용문동,18906
3017055500,서구,탄방동,30735
3017056000,서구,괴정동,17920
3017057000,서구,가장동,10375
3017057500,서구,내동,21540
3017058100,서구,갈마1동,20541
3017058200,서구,갈마2동,22894
3017058600,서구,월평1동,10928
3017058700,서구,월평2동,13209
3017058800,서구,월평3동,19771
3017059000,서구,가수원동,9890
3017059300,서구,도안동,36459
3017059600,서구,관저1동,14359
3017059700,서구,관저2동,47232
3017063000,서구,둔산1동,16028
3017064000,서구,둔산2동,33994
3017065000,서구,만년동,11839
3017066000,서구,둔산3동,18513
3020052000,유성구,진잠동,24930
3020052600,유성구,학하동,19496
3020052700,유성구,상대동,25011
3020053000,유성구,온천1동,26552
3020054000,유성구,온천2동,40733
3020054600,유성구,노은1동,20619
3020054700,유성구,노은2동,23122
3020054800,유성구,노은3동,35656
3020055000,유성구,신성동,25250
3020057000,유성구,전민동,25318
3020058000,유성구,구즉동,32593
3020061000,유성구,원신흥동,30613
3023051000,대덕구,오정동,13154
3023052000,대덕구,대화동,5210
3023052500,대덕구,회덕동,12103
3023053300,대덕구,비래동,14356
3023054300,대덕구,송촌동,26885
3023054600,대덕구,중리동,17523
3023055000,대덕구,신탄진동,15988
3023056000,대덕구,석봉동,15700
3023057000,대덕구,덕암동,12296
3023058000,대덕구,목상동,5817
3023061000,대덕구,법2동,14433
