관내우체국명,우체국우편번호,우체국주소,우체국전화번호,우편영업시간,금융영업시간,구
대전목동우체국,34815,대전 중구 동서대로 1411(목동),042-253-3005,09:00~18:00,09:00~16:30,중구
대전호동우체국,35038,대전 중구 대종로 150(호동),042-271-2005,09:00~18:00,09:00~16:30,중구
대전옥계동우편취급국,35076,대전 중구 모암로7번길 150(옥계동),042-283-9300,09:00~18:00,미운영,중구
대전용두2동우편취급국,34828,대전 중구 동서대로1321번길 19(용두동),042-252-1544,09:00~18:00,미운영,중구
한밭산성우편취급국,35081,대전 중구 대둔산로 345(사정동),042-582-0090,09:00~18:00,미운영,중구
대전유성우체국,34186,대전 유성구 온천로 51 (봉명동),042-828-8114,09:00~18:00,09:00~16:30,유성구
대전성모병원우편취급국,34943,대전 중구 대흥로 64(대흥동),042-254-8652,09:00~18:00,미운영,중구
대전둔산2동우체국,35205,대전 서구 청사로 279 (둔산동),042-488-4166,09:00~18:00,09:00~16:30,서구
대전만년동우체국,35201,대전 서구 만년로 15 (만년동),042-482-9099,09:00~18:00,09:00~16:30,서구
대전갈마동우체국,35272,대전 서구 갈마중로50번길 5 (갈마동),042-535-2007,09:00~18:00,09:00~16:30,서구
대전변동우체국,35322,대전 서구 도산로 189 (변동),042-523-3385,09:00~18:00,09:00~16:30,서구
대전관저동우체국,35364,대전 서구 관저북로 26 (관저동),042-543-2005,09:00~18:00,09:00~16:30,서구
대전월평1동우체국,35226,대전 서구 월평새뜸로4번길 110 (월평동),042-485-1955,09:00~18:00,09:00~16:30,서구
정부대전청사우체국,35208,"대전 서구 청사로 189, 민원동에서 방문증 발급 후 이용가능",042-485-1433,09:00~18:00,09:00~16:30,서구
대전관저2동우체국,35371,대전 서구 관저로 63 (관저동),042-545-2272,09:00~18:00,09:00~16:30,서구
대전향촌우편취급국,35230,"대전 서구 둔산북로36, 128호",042-472-8844,09:00~18:00,미운영,서구
대전월평하나로우편취급국,35210,"대전 서구 청사로 5, 하나로@상가 112호 (월평동, 하나로아파트)",042-487-0954,09:00~18:00,미운영,서구
대전삼천가람우편취급국,35245,"대전 서구 둔산로 201, 국화라이프아파트상가 106호(둔산동, 국화라이프아파트)",042-482-5001,09:00~18:00,미운영,서구
대전탄방동우편취급국,35251,"대전 서구 문예로 16, 한가람@상가 105호 (탄방동, 한가람아파트)",042-472-1164,09:00~18:00,미운영,서구
대전용문동우체국,35307,대전 서구 계룡로 669 (용문동)업무중지,000-0000-0000,00:00~00:00,00:00~00:00,서구
대전강변우편취급국,35396,"대전 서구 정림동로7번길 22, 무지개상가 134 (정림동)",042-582-6610,09:00~18:00,미운영,서구
대전괴정동우체국,35287,대전 서구 갈마로 196 (괴정동),042-522-2105,09:00~18:00,09:00~16:30,서구
대전도마동우체국,35400,대전 서구 계백로 1422 (도마동),042-582-2205,09:00~18:00,09:00~16:30,서구
대전정림동우체국,35399,대전 서구 정림로 4 (정림동),042-584-0291,09:00~18:00,09:00~16:30,서구
대전대화동우체국,34371,"대전 대덕구 대화로 67 (대화동, 대화동우체국)",042-623-2215,09:00~18:00,09:00~16:30,대덕구
대전송촌동우체국,34420,"대전 대덕구 동춘당로 61 (송촌동, 송촌동우체국)",042-623-2293,09:00~18:00,09:00~16:30,대덕구
대전법동우체국,34406,"대전 대덕구 동춘당로 183 (법동, 법동우체국)",042-624-0220,09:00~18:00,09:00~16:30,대덕구
한국전자통신연구원우체국,34129,"대전 유성구 가정로 218, (연구원 민원실에서 방문증 발급 후 이용가능)",042-862-0125,09:00~18:00,09:00~16:30,유성구
대전월평2동우체국,35211,대전 서구 갈마역로 143-12 (월평동),042-483-6626,09:00~18:00,09:00~16:30,서구
대전갈마1동우편취급국,35277,대전 서구 갈마로 62 (갈마동),042-526-9443,09:00~18:00,미운영,서구
대전기성동우편취급국,35426,대전 서구 흑석3길 5,042-587-1002,09:00~18:00,미운영,서구
대전부사동우체국,35027,대전 중구 대종로 374(부사동),042-253-6531,09:00~18:00,09:00~16:30,중구
신탄진우체국,34318,대전 대덕구 석봉로37번길 62,042-931-2005,09:00~18:00,09:00~16:30,대덕구
대전덕암동우체국,34333,"대전 대덕구 덕암로 157 (덕암동, 덕암동우체국)",042-932-7400,09:00~18:00,09:00~16:30,대덕구
대전새뜸우편취급국,34438,대전 대덕구 한밭대로 986(오정동),042-627-3336,09:00~17:00,미운영,대덕구
대전비래동우편취급국,34417,대전 대덕구 우암로464,042-673-1122,09:00~18:00,미운영,대덕구
대전중리동우편취급국,34427,"대전 대덕구 홍도로119번길 6 (중리동, 중리동우편취급국)",042-623-0705,09:00~18:00,미운영,대덕구
대전영진우편취급국,34356,"대전 대덕구 아리랑로 211 (법동,영진아파트)",042-623-3490,09:00~18:00,미운영,대덕구
대전오류동우체국,34909,대전 중구 계백로 1709-10(오류동),042-534-5115,09:00~18:00,09:00~16:30,중구
대전문화2동우체국,35008,대전 중구 당디로6번길 98(문화동),042-584-2005,09:00~18:00,09:00~16:30,중구
대전봉명동우체국,34169,대전 유성구 계룡로 61(봉명동),042-825-2006,09:00~18:00,09:00~16:30,유성구
대전오정동우체국,34434,"대전 대덕구 대전로 1095 (오정동, 오정우체국)",042-626-5006,09:00~18:00,09:00~16:30,대덕구
대덕연구단지우체국,34130,대전 유성구 대덕대로 587(도룡동),042-861-6152,09:00~18:00,09:00~16:30,유성구
대전지족동우체국,34085,대전 유성구 은구비로 52 (지족동),042-477-0930,09:00~18:00,09:00~16:30,유성구
대전우체국,34630,대전 동구 대전로 757 (원동),042-250-7114,09:00~18:00,09:00~16:30,동구
대전구암동우편취급국,34181,대전 유성구 월드컵대로289번길 32 (구암동),042-823-8134,09:00~18:00,미운영,유성구
제78군사우체국,34059,대전 유성구 자운로 97번길 359,042-863-1195,09:00~18:00,09:00~16:30,유성구
대전 판암동우체국,34665,대전 동구 동부로 35,042-273-2901,09:00~18:00,09:00~16:30,동구
대전삼성동우체국,34620,대전 동구 우암로85번길 24,042-623-2005,09:00~18:00,09:00~16:30,동구
대전낭월동우체국,34704,대전 동구 산내로 1323,042-272-7005,09:00~18:00,09:00~16:30,동구
대전성남2동취급국,34589,대전 동구 계족로 328,042-673-1218,09:00~18:00,미운영,동구
대전홍도동취급국,34557,대전 동구 동산초교로 15,042-633-2301,09:00~18:00,미운영,동구
대전산내취급국,34698,대전 동구 대전로340번길 20,042-284-0777,09:00~18:00,미운영,동구
대전비룡동우체국,34500,대전 동구 옥천로 427,042-274-1500,09:00~18:00,09:00~16:30,동구
대전노은2동우체국,34069,대전 유성구 반석동로 53 (반석동),042-825-0286,09:00~18:00,09:00~16:30,유성구
대전태평동우체국,34880,대전 중구 태평로 113(태평동),042-534-2041,09:00~18:00,09:00~16:30,중구
대전전민동우체국,34049,대전 유성구 엑스포로 486-22(전민동),042-862-2004,09:00~18:00,09:00~16:30,유성구
진잠우체국,34227,대전 유성구 원내로39번길 25 (원내동),042-543-3005,09:00~18:00,09:00~16:30,유성구
대전어은동우체국,34140,대전 유성구 어은로 57(어은동) 한빛프라자2층,042-862-2005,09:00~18:00,09:00~16:30,유성구
대덕테크노밸리우체국,34019,대전 유성구 테크노4로 127(관평동),042-935-1331,09:00~18:00,09:00~16:30,유성구
대전대자양취급국,34514,대전 동구 동대전로 202,042-632-0700,09:00~18:00,미운영,동구
대전신성동우체국,34107,대전 유성구 신성로 73 (신성동),042-861-3200,09:00~18:00,09:00~16:30,유성구
회덕우체국,34346,"대전 대덕구 신탄진로254번길 7 (와동, 회덕우체국)",042-628-0080,09:00~18:00,09:00~16:30,대덕구
대전대덕우체국,34301,"대전 대덕구 문평동로 16 (문평동, 대전대덕우체국)",042-930-2400,09:00~18:00,09:00~16:30,대덕구
대전가오동우체국,34692,대전 동구 동구청로 117,042-282-2002,09:00~18:00,09:00~16:30,동구
대전 용전동우체국,34543,대전 동구 계족로 482,042-631-3002,09:00~18:00,09:00~16:30,동구
서대전우체국,34955,대전 중구 계룡로 914 (문화동),042-250-3400,09:00~18:00,09:00~16:30,중구
목원대학교우편취급국,35349,대전 서구 도안북로 88 (도안동),042-822-8740,09:00~18:00,미운영,서구
한남대학교우편취급국,34430,"대전 대덕구 한남로 70 (오정동, 한남대학교)",042-629-7269,09:00~18:00,미운영,대덕구
충남대학교우편취급국,34134,대전 유성구 대학로 99(궁동),042-825-7211,09:00~18:00,미운영,유성구
한국과학기술원우편취급국,34141,대전 유성구 대학로 291 (구성동),042-350-2900,09:00~18:00,미운영,유성구
배재대학교우편취급국,35345,대전 서구 배재로 155-40 (도마동),042-525-0335,09:00~18:00,미운영,서구
대전대학교우편취급국,34520,대전 동구 대학로 62,042-280-2870,09:00~18:00,미운영,동구
대전법원우체국,35237,"대전 서구 둔산중로78번길 45, 대전고등법원 1층 (둔산동)",042-472-4370,09:00~18:00,09:00~16:30,서구
우송대학교우편취급국,34606,대전 동구 동대전로 171,042-622-3886,09:00~18:00,미운영,동구
한밭대학교우편취급국,34158,대전 유성구 동서대로 125(덕명동),042-823-2486,09:00~18:00,미운영,유성구
대전소제동우체국,34603,대전 동구 계족로 271,042-623-2218,09:00~18:00,09:00~16:30,동구
대전대덕장동우편취급국,34345,"대전 대덕구 장동로 263-2 (장동,우체국)",042-635-2204,09:00~18:00,미운영,대덕구
대전선화동우체국,34838,대전 중구 중앙로129번길 5(선화동),042-257-2005,09:00~18:00,09:00~16:30,중구
대전천근우편취급국,34998,대전 중구 서문로43번길 64(문화동),042-582-8555,09:00~18:00,미운영,중구
대전대청우편취급국,34312,"대전 대덕구 신탄진로 778(신탄진동, 대청우편취급국)",042-932-7270,09:00~18:00,미운영,대덕구
대전 가양동우체국,34534,대전 동구 동대전로 278,042-622-9802,09:00~18:00,09:00~16:30,동구
대전문창2동우편취급국,35030,대전 중구 보문로 24-1(문창동),042-283-3690,09:00~18:00,미운영,중구
대전효천취급국,34639,대전 동구 계족로 65,042-272-2204,09:00~18:00,미운영,동구
중부권광역우편물류센터,34708,"대전 동구 안골로 11, 중부권광역우편물류센터",042-714-7226,미운영,미운영,동구
대전구즉동우편취급국,34008,대전 유성구 구즉로 63,042-934-4005,09:00~18:00,미운영,유성구
대전유천1동우편취급국,34978,대전 중구 당디로 123,042-585-3388,09:00~18:00,미운영,중구
대전도안동우편취급국,35368,"대전 서구 도안동로 3, 리더스프라자A 114호",042-543-7464,09:00~18:00,미운영,서구
대전둔산우체국,35239,대전 서구 둔산로 111 (둔산동),042-611-1630,09:00~18:00,09:00~16:30,서구
충청지방우정청,35239,대전 서구 둔산로 111 (둔산동),042-611-1220,00:00~00:00,미운영,서구
